"","Inoculum_1","Inoculum_2","Inoculum_3","Inoculum_4","Inoculum_5","Inoculum_6","Inoculum_7","Inoculum_8"
"806rcbc0",12139,11226,9682,9944,10706,10141,10837,13556
"806rcbc1",12082,11413,9455,9824,10664,9908,10780,13084
"806rcbc101",11377,11622,9641,9822,10858,10182,11519,13620
"806rcbc102",11448,11262,9411,9569,10583,9923,11314,13156
"806rcbc105",11459,11409,9335,9835,10728,10101,11410,13455
"806rcbc106",11465,12610,9329,9985,10760,9928,11592,13451
"806rcbc108",11544,11352,9403,9908,10801,10282,11463,13288
"806rcbc11",13470,11396,10056,10341,11181,10434,10561,13434
"806rcbc110",11281,11184,9256,9896,10553,9804,11009,12916
"806rcbc111",11491,11603,9364,9888,10795,10358,11193,13432
"806rcbc113",12323,11297,9992,10059,10833,10860,11327,12818
"806rcbc115",11528,11608,9339,10130,10774,10355,11305,13469
"806rcbc116",11390,11638,9434,9823,10607,10119,11061,12806
"806rcbc117",11550,11675,9523,9888,10844,10497,11497,13518
"806rcbc119",12374,11951,9650,10341,11088,10896,12213,13155
"806rcbc120",11622,11459,9305,9990,10832,10474,11267,13501
"806rcbc122",11633,11682,9363,10008,10824,10840,11158,13332
"806rcbc123",11593,12063,9377,9952,10673,10319,11035,13439
"806rcbc124",11560,11481,9354,9900,10762,10041,11332,13332
"806rcbc125",11337,11116,9260,9587,10547,9713,10607,12778
"806rcbc126",11385,11151,9286,9770,10631,10025,11002,13251
"806rcbc127",11378,11458,9356,9816,10806,10157,11382,13480
"806rcbc128",11645,11636,9256,9817,10898,10012,11466,13388
"806rcbc129",11707,11543,9514,9860,10989,10299,11350,13387
"806rcbc13",11969,11078,9215,9999,10583,9994,11259,13258
"806rcbc130",11884,11331,9525,9820,10711,10227,11461,13322
"806rcbc132",11509,11571,9264,9704,10726,10158,11701,13398
"806rcbc133",11558,11985,9311,9615,10853,10143,11335,13375
"806rcbc136",11484,11197,9200,9667,10578,9862,11410,12885
"806rcbc137",10925,10923,9095,9394,10379,9594,10657,12901
"806rcbc138",11527,11238,9249,9691,10535,9803,10641,12844
"806rcbc139",11152,11094,9235,9586,10659,9868,10979,12767
"806rcbc14",12378,11447,9329,9927,10763,10033,11317,13180
"806rcbc140",18200,14098,9463,11880,12031,12022,10689,13473
"806rcbc141",11262,11046,9286,9833,10654,9913,10880,12953
"806rcbc142",11241,11155,9259,9677,10578,9941,10795,12992
"806rcbc143",11107,13542,9205,9785,10680,9940,10819,13097
"806rcbc145",11483,11261,9294,9832,10611,9728,10615,12808
"806rcbc146",11190,11069,9382,9826,10611,9890,10816,12877
"806rcbc149",11436,11444,9436,9878,10858,10433,11637,13558
"806rcbc15",12546,11742,9467,9926,10695,10211,11432,13432
"806rcbc150",11248,11294,9322,9636,10624,9791,10604,12934
"806rcbc151",11642,12133,9633,10015,10964,10831,11768,12858
"806rcbc152",11439,12174,9568,10176,11075,10437,11711,13563
"806rcbc153",11126,11111,9172,9640,10596,9768,10830,13472
"806rcbc154",11080,11141,9145,9578,10463,9865,10750,12879
"806rcbc155",11469,11189,9451,10254,10898,10195,11929,13428
"806rcbc156",12610,11902,9583,10126,10951,10210,11487,13638
"806rcbc157",11575,11520,9429,9816,10851,10182,11440,13385
"806rcbc158",10954,10921,9097,9386,10376,9592,10662,12602
"806rcbc159",11099,11100,9201,9480,10440,9660,10450,12679
"806rcbc16",12226,11260,9477,9969,10910,10220,11347,13410
